Date,Home,Away,Home_Score,Away_Score,OU_Line,Home_ML,Away_ML
2023-03-30,BOS,BAL,9.0,10.0,8.5,-125.0,105.0
2023-03-30,CHC,MIL,4.0,0.0,6.5,120.0,-130.0
2023-03-30,CIN,PIT,4.0,5.0,8.0,-135.0,125.0
2023-03-30,HOU,CHW,2.0,3.0,7.5,-139.0,129.0
2023-03-30,KCR,MIN,0.0,2.0,9.0,139.0,-154.0
2023-03-30,LAD,ARI,8.0,2.0,7.0,-165.0,145.0
2023-03-30,FLA,NYM,3.0,5.0,7.0,113.0,-135.0
2023-03-30,NYY,SFG,5.0,0.0,6.5,-170.0,155.0
2023-03-30,OAK,ANA,2.0,1.0,7.0,175.0,-205.0
2023-03-30,SDP,COL,2.0,7.0,7.0,-220.0,180.0
2023-03-30,SEA,CLE,3.0,0.0,6.5,-120.0,100.0
2023-03-30,STL,TOR,9.0,10.0,7.5,-110.0,-110.0
2023-03-30,TBD,DET,4.0,0.0,6.5,-240.0,195.0
2023-03-30,TEX,PHI,11.0,7.0,6.5,-140.0,125.0
2023-03-30,WSN,ATL,2.0,7.0,7.5,210.0,-260.0
2023-03-31,HOU,CHW,6.0,3.0,8.0,-158.0,143.0
2023-03-31,LAD,ARI,1.0,2.0,7.5,-190.0,170.0
2023-03-31,FLA,NYM,2.0,1.0,8.0,-105.0,-105.0
2023-03-31,SDP,COL,1.0,4.0,8.0,-200.0,170.0
2023-03-31,SEA,CLE,4.0,9.0,7.5,-167.0,140.0
2023-04-01,BOS,BAL,9.0,8.0,9.5,-155.0,130.0
2023-04-01,CHC,MIL,1.0,3.0,6.5,100.0,-120.0
2023-04-01,CIN,PIT,6.0,2.0,8.5,-150.0,135.0
2023-04-01,HOU,CHW,6.0,4.0,8.5,-134.0,124.0
2023-04-01,KCR,MIN,0.0,2.0,8.0,140.0,-165.0
2023-04-01,LAD,ARI,10.0,1.0,8.0,-270.0,220.0
2023-04-01,FLA,NYM,2.0,6.0,8.5,-105.0,-105.0
2023-04-01,NYY,SFG,5.0,7.0,8.5,-136.0,126.0
2023-04-01,OAK,ANA,1.0,13.0,7.5,141.0,-170.0
2023-04-01,SDP,COL,8.0,4.0,8.0,-240.0,210.0
2023-04-01,SEA,CLE,0.0,2.0,7.0,-133.0,123.0
2023-04-01,STL,TOR,4.0,1.0,8.0,117.0,-127.0
2023-04-01,TBD,DET,12.0,2.0,7.0,-182.0,155.0
2023-04-01,TEX,PHI,16.0,3.0,7.5,105.0,-125.0
2023-04-01,WSN,ATL,1.0,7.0,9.0,205.0,-250.0
2023-04-02,BOS,BAL,9.0,5.0,9.0,-141.0,120.0
2023-04-02,CHC,MIL,5.0,9.0,9.0,-125.0,115.0
2023-04-02,CIN,PIT,3.0,1.0,9.0,-128.0,118.0
2023-04-02,HOU,CHW,3.0,6.0,8.0,-145.0,122.0
2023-04-02,KCR,MIN,4.0,7.0,9.0,122.0,-145.0
2023-04-02,LAD,ARI,1.0,2.0,8.5,-185.0,165.0
2023-04-02,FLA,NYM,1.0,5.0,7.5,105.0,-115.0
2023-04-02,NYY,SFG,6.0,0.0,8.0,-130.0,120.0
2023-04-02,OAK,ANA,0.0,6.0,7.5,135.0,-150.0
2023-04-02,SDP,COL,3.0,1.0,8.0,-205.0,185.0
2023-04-02,SEA,CLE,5.0,6.0,8.0,-115.0,105.0
2023-04-02,STL,TOR,9.0,4.0,7.5,-115.0,105.0
2023-04-02,TBD,DET,5.0,1.0,7.5,-278.0,230.0
2023-04-02,TEX,PHI,2.0,1.0,8.5,-125.0,105.0
2023-04-02,WSN,ATL,4.0,1.0,8.5,144.0,-175.0
2023-04-03,BOS,PIT,6.0,7.0,9.5,-150.0,135.0
2023-04-03,CHW,SFG,3.0,12.0,8.0,-134.0,124.0
2023-04-03,CIN,CHC,7.0,6.0,9.0,103.0,-113.0
2023-04-03,HOU,DET,6.0,7.0,8.0,-250.0,205.0
2023-04-03,KCR,TOR,9.0,5.0,8.0,120.0,-130.0
2023-04-03,LAD,COL,13.0,4.0,8.5,-225.0,185.0
2023-04-03,FLA,MIN,1.0,11.0,8.0,112.0,-122.0
2023-04-03,MIL,NYM,10.0,0.0,8.5,-110.0,100.0
2023-04-03,NYY,PHI,8.0,1.0,7.5,-175.0,144.0
2023-04-03,OAK,CLE,11.0,12.0,7.5,135.0,-150.0
2023-04-03,SDP,ARI,5.0,4.0,8.0,-135.0,125.0
2023-04-03,SEA,ANA,3.0,7.0,7.0,-132.0,122.0
2023-04-03,STL,ATL,4.0,8.0,8.5,108.0,-118.0
2023-04-03,TEX,BAL,0.0,2.0,8.5,-133.0,123.0
2023-04-03,WSN,TBD,2.0,6.0,8.0,160.0,-175.0
2023-04-04,BOS,PIT,1.0,4.0,9.0,-145.0,133.0
2023-04-04,CIN,CHC,5.0,12.0,9.0,115.0,-135.0
2023-04-04,HOU,DET,3.0,6.0,7.5,-280.0,240.0
2023-04-04,KCR,TOR,1.0,4.0,10.0,145.0,-175.0
2023-04-04,LAD,COL,5.0,2.0,7.5,-250.0,205.0
2023-04-04,FLA,MIN,1.0,0.0,7.0,-150.0,135.0
2023-04-04,MIL,NYM,9.0,0.0,8.0,135.0,-150.0
2023-04-04,NYY,PHI,1.0,4.0,8.5,-155.0,140.0
2023-04-04,OAK,CLE,4.0,3.0,7.0,165.0,-185.0
2023-04-04,SDP,ARI,6.0,8.0,7.0,-150.0,135.0
2023-04-04,SEA,ANA,11.0,2.0,7.5,-170.0,150.0
2023-04-04,STL,ATL,1.0,4.0,9.5,-132.0,122.0
2023-04-04,TEX,BAL,2.0,7.0,8.5,-145.0,122.0
2023-04-04,WSN,TBD,6.0,10.0,9.0,141.0,-170.0
2023-04-05,BOS,PIT,1.0,4.0,8.5,-155.0,130.0
2023-04-05,CHW,SFG,7.0,3.0,7.5,-135.0,115.0
2023-04-05,HOU,DET,8.0,2.0,7.5,-250.0,205.0
2023-04-05,KCR,TOR,0.0,3.0,8.5,160.0,-195.0
2023-04-05,FLA,MIN,5.0,2.0,7.0,105.0,-115.0
2023-04-05,MIL,NYM,7.0,6.0,8.0,-130.0,120.0
2023-04-05,NYY,PHI,4.0,2.0,6.5,-170.0,141.0
2023-04-05,OAK,CLE,4.0,6.0,8.0,115.0,-125.0
2023-04-05,SEA,ANA,3.0,4.0,7.0,155.0,-170.0
2023-04-05,STL,ATL,2.0,5.0,9.0,-120.0,110.0
2023-04-05,TEX,BAL,5.0,2.0,7.5,-213.0,168.0
2023-04-05,WSN,TBD,2.0,7.0,8.5,225.0,-275.0
2023-04-06,ARI,LAD,2.0,5.0,8.5,137.0,-163.0
2023-04-06,ATL,SDP,7.0,6.0,8.5,-160.0,134.0
2023-04-06,CHW,SFG,6.0,16.0,8.0,-115.0,105.0
2023-04-06,COL,WSN,1.0,0.0,11.0,-170.0,150.0
2023-04-06,DET,BOS,3.0,6.0,8.0,126.0,-136.0
2023-04-06,KCR,TOR,3.0,6.0,8.5,185.0,-225.0
2023-04-07,ANA,TOR,3.0,4.0,9.0,-145.0,125.0
2023-04-07,ARI,LAD,6.0,3.0,9.0,210.0,-250.0
2023-04-07,ATL,SDP,4.0,5.0,9.5,-110.0,-110.0
2023-04-07,BAL,NYY,7.0,6.0,8.5,110.0,-120.0
2023-04-07,CHC,TEX,2.0,0.0,6.5,-122.0,112.0
2023-04-07,CLE,SEA,3.0,5.0,7.5,-121.0,111.0
2023-04-07,COL,WSN,5.0,10.0,11.5,-115.0,-105.0
2023-04-07,MIL,STL,4.0,0.0,8.5,-150.0,135.0
2023-04-07,MIN,HOU,3.0,2.0,7.5,-126.0,116.0
2023-04-07,NYM,FLA,9.0,3.0,8.0,-170.0,150.0
2023-04-07,PHI,CIN,5.0,2.0,7.5,-185.0,165.0
2023-04-07,PIT,CHW,13.0,9.0,8.5,115.0,-125.0
2023-04-07,SFG,KCR,1.0,3.0,8.0,-215.0,175.0
2023-04-07,TBD,OAK,9.0,5.0,7.5,-275.0,225.0
2023-04-08,ANA,TOR,9.0,5.0,9.5,-130.0,120.0
2023-04-08,ARI,LAD,12.0,8.0,9.5,135.0,-161.0
2023-04-08,ATL,SDP,1.0,4.0,9.0,-152.0,137.0
2023-04-08,BAL,NYY,1.0,4.0,8.5,116.0,-126.0
2023-04-08,CHC,TEX,10.0,3.0,7.0,-125.0,105.0
2023-04-08,CLE,SEA,2.0,3.0,8.5,-134.0,124.0
2023-04-08,COL,WSN,6.0,7.0,11.0,-145.0,133.0
2023-04-08,DET,BOS,5.0,14.0,8.5,132.0,-143.0
2023-04-08,MIL,STL,0.0,6.0,9.0,145.0,-160.0
2023-04-08,MIN,HOU,9.0,6.0,7.5,-110.0,100.0
2023-04-08,NYM,FLA,5.0,2.0,7.5,-173.0,158.0
2023-04-08,PHI,CIN,3.0,2.0,8.0,-145.0,122.0
2023-04-08,PIT,CHW,5.0,11.0,8.5,105.0,-125.0
2023-04-08,SFG,KCR,5.0,6.0,8.5,-150.0,126.0
2023-04-08,TBD,OAK,11.0,0.0,7.5,-300.0,250.0
2023-04-09,ANA,TOR,11.0,12.0,10.0,-132.0,122.0
2023-04-09,ARI,LAD,11.0,6.0,9.5,115.0,-135.0
2023-04-09,ATL,SDP,2.0,10.0,9.0,-120.0,110.0
2023-04-09,BAL,NYY,3.0,5.0,7.5,122.0,-145.0
2023-04-09,CHC,TEX,2.0,8.0,8.5,-110.0,-110.0
2023-04-09,CLE,SEA,7.0,6.0,8.0,115.0,-125.0
2023-04-09,COL,WSN,7.0,6.0,12.0,-145.0,122.0
2023-04-09,DET,BOS,1.0,4.0,8.5,112.0,-122.0
2023-04-09,MIL,STL,6.0,1.0,9.0,-150.0,135.0
2023-04-09,MIN,HOU,1.0,5.0,8.0,100.0,-120.0
2023-04-09,NYM,FLA,2.0,7.0,8.0,-141.0,120.0
2023-04-09,PHI,CIN,4.0,6.0,8.5,-205.0,175.0
2023-04-09,PIT,CHW,1.0,0.0,9.0,-135.0,115.0
2023-04-09,SFG,KCR,3.0,1.0,8.5,-160.0,135.0
2023-04-09,TBD,OAK,11.0,0.0,8.0,-310.0,250.0
2023-04-10,ANA,WSN,4.0,6.0,10.0,-280.0,240.0
2023-04-10,ARI,MIL,3.0,0.0,9.0,-145.0,130.0
2023-04-10,ATL,CIN,5.0,4.0,8.5,-190.0,156.0
2023-04-10,BAL,OAK,5.0,1.0,8.0,-180.0,160.0
2023-04-10,CHC,SEA,3.0,2.0,9.0,135.0,-150.0
